"","x","y"
"355",6973,43009
"356",6030,43008
"357",8475,43006
"358",9752,43004
"359",9833,43003
"360",7661,42998
"361",6676,42994
"362",7869,42989
"363",9552,42975
"364",5003,42971
"365",8571,42964
"366",5273,42963
"367",7747,42955
"368",8317,42952
"369",6068,42950
"370",8644,42942
"371",9655,42938
"372",5411,42924
"373",7870,42906
"374",5003,42900
"375",9980,42900
"376",8202,42893
"377",6639,42886
"378",9892,42886
"379",6456,42883
"380",7019,42882
"381",7997,42872
"382",5524,42871
"383",6305,42871
"384",9808,42866
"385",6566,42858
"386",5345,42855
"387",8639,42854
"388",7337,42850
"389",5702,42838
"390",9692,42823
"391",9370,42820
"392",5602,42817
"393",7694,42814
"394",8310,42801
"395",7384,42799
"396",7775,42794
"397",8619,42775
"398",9539,42773
"399",9805,42765
"400",6899,42754
"401",7662,42746
"402",8457,42741
"403",7425,42735
"404",5556,42729
"405",9673,42725
"406",7594,42718
"407",6636,42711
"408",8627,42688
"409",8233,42683
"410",9912,42679
"411",6560,42669
"412",7303,42668
"413",9507,42664
"414",7030,42653
"415",8392,42651
"416",8103,42644
"417",6634,42641
"418",9774,42636
"419",6380,42634
"420",7174,42629
"421",6202,42623
"422",8195,42607
"423",5367,42606
"424",8293,42602
"425",7595,42597
"426",9469,42593
"427",6429,42586
"428",6935,42585
"429",8394,42583
"430",5969,42582
"431",7284,42581
"432",9556,42579
"433",5714,42578
"434",5559,42574
"435",5884,42565
"436",6825,42564
"437",9645,42554
"438",9418,42551
"439",7654,42546
"440",7097,42543
"441",5113,42519
"442",7418,42514
"443",9754,42512
"444",8236,42511
"445",8342,42507
"446",6491,42504
"447",9307,42501
"448",8535,42497
"449",8643,42492
"450",9511,42485
"451",7060,42473
"452",7233,42451
"453",7329,42437
"454",9851,42434
"455",8541,42431
"456",6876,42430
"457",7837,42426
"458",9738,42426
"459",5864,42419
"460",6497,42410
"461",7481,42409
"462",8350,42404
"463",6980,42390
"464",7121,42382
"465",7732,42381
"466",6062,42376
"467",9816,42375
"468",9370,42373
"469",9971,42370
"470",8075,42363
