"","Gene","x","y"
"290",1,7007,44192
"291",1,7185,43735
"292",1,9932,43900
"293",1,8749,40301
"294",1,7589,40177
"295",1,7919,41855
"296",1,7203,41344
"297",1,6703,44190
"298",1,5791,42058
"299",1,8381,44296
"300",1,9970,40343
"301",1,9963,42254
"302",1,7034,44040
"303",1,7201,41739
"304",1,6946,41032
"305",1,8369,44784
"306",1,6107,41728
"307",1,8734,41300
"308",1,7143,43839
"309",1,7483,43661
"310",1,7876,44118
"311",1,7940,41348
"312",1,7673,43854
"313",1,8192,41177
"314",1,8530,43625
"315",1,8381,40738
"316",1,6633,43924
"317",1,7537,43025
"318",1,6958,44716
"319",1,5805,40723
"320",1,8565,44160
"321",1,7540,40505
"322",1,5006,42821
"323",1,7799,40357
"324",1,7173,42324
"325",1,7078,40698
"326",1,6934,42132
"327",1,7176,43743
"328",1,9047,40528
"329",1,8766,41076
"330",1,8375,44574
"331",1,6895,40931
"332",1,7531,42237
"333",1,7777,42793
"334",1,7402,40371
"335",1,8955,40236
"336",1,9068,40787
"337",1,6559,44487
"338",1,7152,43747
"339",1,9160,41190
"340",1,6976,42116
"341",1,6736,41024
"342",1,6978,44571
"343",1,6977,40787
"344",1,8190,44149
"345",1,7836,40531
"346",1,7509,44772
"347",1,8354,44720
"348",1,7072,42100
"349",1,9278,41265
"350",1,5595,41109
"351",1,7846,40529
"352",1,8405,44573
"353",1,5025,42954
"354",1,7566,42333
"355",1,5670,40697
"356",1,7214,43745
"357",1,5174,43028
"358",1,7084,40125
"359",1,7327,40747
"360",1,5037,42552
"361",1,5004,42750
"362",1,7112,40689
"363",1,7123,40621
"364",1,5365,41178
"365",1,5476,41797
"366",1,9999,43660
"367",1,9843,41212
"368",1,6462,43857
"369",1,7164,44477
"370",1,8936,40491
"371",1,7040,43751
"372",1,8052,40168
"373",1,8663,43605
"374",1,9423,40813
"375",1,8194,40615
"376",1,7130,44000
"377",1,6893,44619
"378",1,5083,42881
"379",1,7049,44483
"380",1,9402,40551
"381",1,7787,40320
"382",1,7743,40101
"383",1,7451,44679
"384",1,7269,40905
"385",1,7878,41159
"386",1,7358,43473
"387",1,7495,40603
"388",1,9904,40149
"389",1,6912,44552
"390",1,6830,40295
"391",1,7259,40348
"392",1,7655,40495
"393",1,5143,40541
"394",1,5431,42428
"395",1,9861,40175
"396",1,7415,43580
"397",1,7958,41749
"398",1,7296,43547
"399",1,7713,44930
"400",1,7401,42083
"401",1,7181,44369
"402",1,8471,43872
"403",1,7397,43538
"404",1,9697,40016
"405",1,6504,40053
"406",1,5445,40771
"407",1,7810,40662
"408",1,7590,40594
"409",1,7595,41021
"410",1,8502,43476
"411",1,8364,44793
"412",1,9813,40167
"413",1,7453,40584
"414",1,7593,40743
"415",1,8561,40381
"416",1,8394,40748
"417",1,5043,42778
"418",1,8664,43766
"419",1,8400,44423
"420",1,7437,41180
"421",1,5376,41158
"422",1,6834,42560
"423",1,7060,44667
"424",1,8557,41261
"425",1,7318,43540
"426",1,7179,43892
"427",1,7144,42428
"428",1,7421,43614
"429",1,6526,40741
"430",1,7152,43817
"431",1,8870,41109
"432",1,6043,42180
"433",1,7409,43684
"434",1,5365,41222
"435",1,9113,40824
"436",1,8362,40754
"437",1,9114,40139
"438",1,7167,43756
"439",1,8951,40304
"440",1,7420,44976
"441",1,5463,43342
"442",1,6928,42295
"443",1,7385,44516
"444",1,7361,43979
"445",1,7191,40643
"446",1,7827,41592
"447",1,7851,41149
"448",1,9844,42043
"449",1,9567,40829
"450",1,7078,42303
"451",2,8878,41909
"452",2,5424,42871
"453",2,6595,41517
"454",2,8961,41118
"455",2,7189,41510
"456",2,6200,43825
"457",2,9837,43701
"458",2,8228,41559
"459",2,8393,41842
"460",2,8144,40290
"461",2,7737,44530
"462",2,8611,41056
"463",2,5115,44500
"464",2,8772,41887
"465",2,8028,43953
"466",2,6800,44619
"467",2,9834,43679
"468",2,6541,43004
"469",2,9897,40344
"470",2,6671,40550
"471",2,6828,40412
"472",2,7891,42907
"473",2,7766,44332
"474",2,6671,42122
"475",2,8288,44206
"476",2,8273,44975
"477",2,6089,43726
"478",2,6527,42114
"479",2,5142,43248
"480",2,7387,43831
"481",2,5824,41333
"482",2,8059,44733
"483",2,5498,40792
"484",2,5447,41948
"485",2,7241,44845
"486",2,6965,44494
"487",2,6956,42087
"488",2,6553,40664
"489",2,7082,41674
"490",2,7929,44156
"491",2,6731,44299
"492",2,5226,44944
"493",2,8383,41967
"494",2,8390,43161
"495",2,8087,41024
"496",2,6705,44872
"497",2,7436,41968
"498",2,8272,42622
"499",2,5041,43485
"500",2,9040,41341
"501",2,7861,44188
"502",2,6477,43095
"503",2,8158,41060
"504",2,8333,44396
"505",2,7957,40161
"506",2,8791,41974
"507",2,5091,42827
"508",2,5023,44984
"509",2,6833,43890
"510",2,6620,42948
"511",2,6862,40723
"512",2,6949,41336
"513",2,6991,41312
"514",2,7840,44226
"515",2,8290,44269
"516",2,6160,44889
"517",2,6839,42946
"518",2,8665,42090
"519",2,6553,42188
"520",2,9143,41908
"521",2,5522,41903
"522",2,5352,44611
"523",2,8123,44759
"524",2,6945,42148
"525",2,8256,42656
"526",2,7843,44150
"527",2,5416,43146
"528",2,7190,43534
"529",2,8207,43061
"530",2,8403,42519
"531",2,8632,43373
"532",2,5113,44580
"533",2,7508,42052
"534",2,7971,44652
"535",2,5458,43726
"536",2,8077,40356
"537",2,5045,43443
"538",2,7846,40062
"539",2,5239,44920
"540",2,6587,42041
"541",2,7964,42750
"542",2,9897,42948
"543",2,7756,40111
"544",2,8014,44383
"545",2,6587,42162
"546",2,6582,40718
"547",2,6593,41431
"548",2,5558,41859
"549",2,6957,42899
"550",2,6467,44452
"551",2,6297,42778
"552",2,5597,42784
"553",2,6859,41490
"554",2,6998,42209
"555",2,6925,41441
"556",2,8784,41752
"557",2,9327,41737
"558",2,6556,41160
"559",2,8536,43539
"560",2,7306,42954
"561",2,7414,43528
"562",2,6887,41925
"563",2,8460,42238
"564",2,5776,40899
"565",2,8341,41848
"566",2,8209,44763
"567",2,5568,41184
"568",2,7421,40649
"569",2,6370,42165
"570",2,7713,42244
"571",2,6575,42846
"572",2,5687,42130
"573",2,8345,42383
"574",2,8318,42592
"575",2,5346,44933
"576",2,9061,41366
"577",2,7975,44317
"578",2,9491,42417
"579",2,8692,40291
"580",2,8236,42100
"581",2,5159,40820
"582",2,5305,42182
"583",2,6565,40603
"584",2,6545,44267
"585",2,8961,41250
"586",2,7976,44829
"587",2,8164,44870
"588",2,8311,42444
"589",2,5130,43698
"590",2,5151,43507
"591",2,5102,40932
"592",2,5242,41759
"593",2,8555,41722
"594",2,6369,40415
"595",2,8434,43764
"596",2,8334,42215
"597",2,9748,43019
"598",2,6677,42839
"599",2,6599,41841
"600",2,6662,44086
"601",2,8817,42061
"602",2,7865,40344
"603",2,8632,44371
"604",2,7076,44898
"605",2,5630,42834
"606",2,6390,40483
"607",2,7278,43005
"608",2,7010,40920
"609",2,7115,40906
"610",2,8084,40597
"611",2,5671,42854
"612",2,6912,44076
"613",2,6234,43750
"614",2,9340,42021
"615",2,7168,44899
"616",2,6546,40714
"617",2,6550,44203
"618",2,9163,40841
"619",2,7180,44886
"620",2,7239,40020
"621",2,5354,44662
"622",2,7183,43474
"623",2,7195,43409
"624",2,7427,43803
"625",2,5126,43920
"626",2,7157,43974
"627",2,6718,43244
"628",2,5883,41265
"629",2,9240,40272
"630",2,8338,43241
"631",2,8323,42058
"632",2,8359,44887
"633",2,9643,42577
"634",2,8565,41677
"635",2,8300,41469
"636",2,5130,41764
"637",2,5287,44728
"638",2,8087,44367
"639",2,5324,43730
"640",2,5239,43642
"641",2,8607,40016
"642",2,9225,41726
"643",2,5333,44583
"644",2,8693,43928
"645",2,8121,42272
"646",2,6568,42747
"647",2,5787,40527
"648",2,9000,41815
"649",2,6977,42578
"650",2,7361,43851
"651",2,9242,40975
"652",2,7603,44567
"653",2,8197,43848
"654",2,8343,42151
"655",2,6515,40681
"656",2,6670,44403
"657",2,8254,44229
"658",2,7236,43791
"659",2,8748,43558
"660",2,8246,42706
"661",2,8111,42433
"662",2,7772,44667
"663",2,8405,43192
"664",2,7803,44351
"665",2,8478,42461
"666",2,5471,40226
"667",2,8002,43023
"668",2,5531,42998
"669",2,8389,40905
"670",2,6423,40175
"671",2,8602,40042
"672",2,8176,41189
"673",2,8432,42668
"674",2,7322,42915
"675",2,9919,42953
"676",2,8668,40372
"677",2,7309,40444
"678",2,8717,41972
"679",2,6522,40562
"680",2,7295,42913
"681",2,6287,44659
"682",2,8954,41757
"683",2,8778,40302
"684",2,9685,42172
"685",2,5907,40550
"686",2,8494,43529
"687",2,9969,42972
"688",2,6323,40713
"689",2,5070,44438
"690",2,5068,41407
"691",2,8560,41634
"692",2,8516,42475
"693",2,8245,42842
"694",2,7169,41502
"695",2,6915,42323
"696",2,6455,41516
"697",2,7298,40044
"698",2,7030,40938
"699",2,6562,40668
"700",2,8451,40936
"701",2,6340,40347
"702",2,7387,42900
"703",2,8421,42959
